class,pattern,count,tscore,kind,n,examples
routine,nicht wahr,1438,0.0,routine,0,355167;361417;344537
routine,ich weiß nicht,1356,0.0,routine,0,210;245;261
routine,keine ahnung,324,0.0,routine,0,140001;435707;581439
routine,in ordnung,283,0.0,routine,0,369874;446187;346955
routine,vielen dank,217,0.0,routine,0,342029;347951;356638
routine,es tut mir leid,188,0.0,routine,0,410992;352280;344
routine,bis morgen,129,0.0,routine,0,338309;353751;416333
routine,viel spaß,104,0.0,routine,0,503974;620922;330601
routine,ich habe keine zeit,88,0.0,routine,0,362672;363963;344441
routine,meiner meinung nach,84,0.0,routine,0,369196;450048;395431
routine,viel glück,82,0.0,routine,0,1401513;387985;413747
routine,guten tag,77,0.0,routine,0,714343;403851;404146
routine,wie geht es dir,75,0.0,routine,0,394218;406774;396544
routine,kein problem,73,0.0,routine,0,1037463;789482;645127
routine,ich bin müde,70,0.0,routine,0,579529;662175;395287
routine,gute nacht,59,0.0,routine,0,1002;404221;535996
routine,was ist los,58,0.0,routine,0,659787;664531;621494
routine,guten morgen,53,0.0,routine,0,404689;6065;417591
routine,alles gute,47,0.0,routine,0,1206461;355043;932798
routine,herzlichen glückwunsch,43,0.0,routine,0,1111031;697964;82
routine,auf wiedersehen,42,0.0,routine,0,732283;485466;622709
routine,ich weiß es nicht,40,0.0,routine,0,1240249;560890;789719
routine,natürlich nicht,32,0.0,routine,0,352551;1222502;1226945
routine,danke schön,29,0.0,routine,0,2291558;403064;1983336
routine,ich habe hunger,28,0.0,routine,0,1690550;863;1690552
routine,guten abend,22,0.0,routine,0,444481;1597904;6062
routine,mir geht es gut,18,0.0,routine,0,3553239;444746;1535945
routine,ich muss los,18,0.0,routine,0,344352;989112;700812
routine,mir ist kalt,13,0.0,routine,0,814159;343615;547865
routine,ach so,12,0.0,routine,0,657981;716205;394256
routine,bitte schön,12,0.0,routine,0,1607651;1607652;561069
routine,was ist mit dir,12,0.0,routine,0,1201901;1844130;3346230
routine,wie bitte,12,0.0,routine,0,1515147;2738775;2871586
routine,na ja,11,0.0,routine,0,4682978;8916056;8242406
routine,ich habe durst,8,0.0,routine,0,1690552;1690552;943175
routine,gern geschehen,8,0.0,routine,0,12258367;2786012;5075869
routine,bis bald,5,0.0,routine,0,8098820;394482;3275582
routine,pass auf dich auf,4,0.0,routine,0,1125391;724939;589971
routine,bis dann,3,0.0,routine,0,353839;6376408;7054234
routine,gute besserung,3,0.0,routine,0,5992220;8500816;6681637
routine,bis später,1,0.0,routine,0,3982832
routine,mir ist heiß,1,0.0,routine,0,8237338
routine,stimmt genau,0,0.0,routine,0,
routine,entschuldigung,0,0.0,routine,0,
routine,machs gut,0,0.0,routine,0,
routine,später vielleicht,0,0.0,routine,0,
perfekt_frame,hat … gesagt,1322,34.76,frame,0,351698;6095;6107
perfekt_frame,habe … gesehen,888,28.88,frame,0,136445;341243;496
perfekt_frame,hat … gemacht,707,25.19,frame,0,341272;136448;342300
perfekt_frame,habe … gesagt,491,20.39,frame,0,369816;855;445216
perfekt_frame,habe … gehört,484,21.15,frame,0,341236;342522;342560
perfekt_frame,hast … gesehen,464,20.91,frame,0,359070;353061;344484
perfekt_frame,hat … gekauft,451,20.32,frame,0,330461;360637;342798
perfekt_frame,ist … gegangen,428,18.61,frame,0,340881;343042;136435
perfekt_frame,habe … gekauft,416,19.75,frame,0,136256;343608;236461
perfekt_frame,habe … gemacht,409,18.98,frame,0,353005;6187;359649
perfekt_frame,ist … passiert,405,17.73,frame,0,348422;6157;840
perfekt_frame,hast … gesagt,369,18.2,frame,0,630;838;821
perfekt_frame,ist … gekommen,360,16.59,frame,0,344276;349825;342081
perfekt_frame,habe … vergessen,357,18.13,frame,0,353110;366498;351787
perfekt_frame,ist … geworden,340,16.67,frame,0,341248;341715;877
perfekt_frame,hat … getan,339,16.95,frame,0,353010;352099;439701
perfekt_frame,hat … gefallen,332,17.32,frame,0,1155;422363;369168
